Case ID, Side Force, Pitching Moment, Normal Force, Yawing Moment , Rolling Moment, Axial Force, Dynamic Pressure, Static Pressure, Air Speed
1,0.003335,-0.003803,-0.001872,0.006437,0.015921,0.019588,0.011642,-0.009328,38.347058
1,-0.000671,0.000714,-0.004706,0.00782,0.015605,0.014142,0.011618,-0.009315,38.308443
1,0.00167,-0.001025,-0.003783,0.012228,0.018051,0.014288,0.011628,-0.009328,38.325258
1,-0.00066,0.003561,0.002366,0.009179,0.019826,0.017026,0.011616,-0.009323,38.305492
1,-0.001271,-0.000971,0.000577,0.006173,0.021496,0.015121,0.011651,-0.009328,38.363016
1,-0.001149,-0.005355,0.004392,0.00471,0.024273,0.013585,0.011654,-0.009336,38.366831
1,0.001206,-0.012477,0.004411,0.011618,0.023707,0.014305,0.011588,-0.009334,38.259144
1,-0.000269,0.00208,0.008255,0.017441,0.023909,0.018535,0.011593,-0.009328,38.267215
1,-0.001802,0.005259,0.001426,0.011417,0.034945,0.016726,0.011621,-0.009322,38.31279
1,-0.001788,0.001128,-0.003427,-0.003912,0.022902,0.018465,0.01158,-0.009321,38.245958
1,0.000551,0.008194,0.001064,0.004367,0.019762,0.018132,0.011618,-0.009314,38.308444
1,0.000293,0.001998,-0.000213,0.010916,0.023405,0.016229,0.011635,-0.009311,38.337005
1,0.003465,0.007933,-0.004836,0.019683,0.021587,0.019651,0.01166,-0.009317,38.377131
1,-0.00209,-0.003527,0.000683,0.00843,0.021429,0.01456,0.011655,-0.009323,38.368979
1,0.001897,0.000921,-0.000874,-0.00065,0.0144,0.014904,0.011614,-0.009323,38.300909
1,-0.001171,-0.002862,-0.00673,0.002421,0.02023,0.017413,0.011613,-0.009318,38.299361
1,-0.002129,-0.008977,-0.003518,0.019747,0.021481,0.017854,0.011612,-0.009324,38.29781
1,-0.001373,0.004092,-0.001476,0.014955,0.017557,0.01559,0.011605,-0.00932,38.286215
1,-0.001185,0.002227,-0.006917,0.001926,0.015247,0.016007,0.011625,-0.009321,38.320492
1,0.000146,-0.008037,-0.009702,0.0032,0.02631,0.018095,0.01166,-0.009311,38.377251
1,-0.001204,-0.006605,-0.002936,0.014234,0.015729,0.01947,0.01163,-0.009314,38.327863
2,0.001841,-0.006388,-0.046606,0.016075,0.030573,0.036736,0.023927,-0.008812,54.975371
2,0.00125,-0.014426,-0.05055,0.013896,0.026559,0.03099,0.023928,-0.008818,54.977102
2,0.003696,-0.007564,-0.042023,0.018656,0.026297,0.027059,0.023945,-0.008818,54.996505
2,0.002798,0.007657,-0.0493,0.011804,0.020899,0.03357,0.023924,-0.008819,54.972597
2,0.002618,0.003582,-0.044221,0.0063,0.036748,0.03066,0.023933,-0.008814,54.982451
2,0.004638,0.003883,-0.049114,0.007613,0.027843,0.034879,0.02391,-0.008818,54.955911
2,0.004957,0.007016,-0.052133,0.0199,0.031169,0.033409,0.023895,-0.008822,54.939214
2,0.001894,0.002998,-0.040918,0.00721,0.031967,0.030743,0.023939,-0.008806,54.989282
2,0.001216,-0.000681,-0.047059,0.004716,0.030484,0.032478,0.023944,-0.008813,54.995322
2,0.003575,-0.015195,-0.050575,0.008928,0.033655,0.031692,0.023919,-0.008815,54.966302
2,0.004934,0.00222,-0.0434,0.020484,0.023462,0.031286,0.023902,-0.00882,54.947023
2,0.001852,-0.005169,-0.051566,0.00796,0.039389,0.030976,0.023896,-0.008815,54.939585
2,0.001531,-0.011364,-0.044128,0.010339,0.026641,0.028608,0.023891,-0.008807,54.934544
2,0.004324,-0.007987,-0.046772,0.020123,0.022398,0.027608,0.023909,-0.008807,54.954579
2,0.004444,-0.001793,-0.049408,0.01409,0.040784,0.027299,0.023959,-0.008813,55.012362
2,0.001704,-0.008251,-0.034184,0.016483,0.039436,0.02813,0.023969,-0.00881,55.024313
2,0.003543,-0.012692,-0.053631,0.018159,0.023502,0.035124,0.023987,-0.008812,55.04426
2,0.001484,-0.004343,-0.055534,0.003479,0.028976,0.037551,0.02398,-0.008825,55.036949
2,0.003464,0.000359,-0.047595,0.015658,0.012357,0.0343,0.023988,-0.008824,55.045814
2,0.006195,-0.010296,-0.049078,0.008796,0.028248,0.030488,0.023981,-0.008812,55.037187
2,0.00032,-0.012216,-0.042222,0.010063,0.024849,0.029146,0.023997,-0.008799,55.05551
3,0.007623,-0.036555,-0.121386,0.043552,0.061051,0.090465,0.09631,-0.004219,110.296685
3,0.008629,-0.055326,-0.123513,0.030634,0.069449,0.096953,0.096328,-0.00422,110.30695
3,0.014262,-0.053061,-0.117843,0.049337,0.044917,0.09838,0.096366,-0.00421,110.328873
3,0.010295,-0.044598,-0.120448,0.039171,0.056397,0.090615,0.096416,-0.004265,110.357082
3,0.006479,-0.042826,-0.126899,0.046488,0.069824,0.093045,0.096399,-0.004315,110.347459
3,0.007114,-0.041498,-0.119893,0.040876,0.047226,0.092402,0.096384,-0.004317,110.339206
3,0.011567,-0.031633,-0.130393,0.050546,0.058082,0.094275,0.096369,-0.004193,110.330589
3,0.009651,-0.024704,-0.126409,0.051322,0.059278,0.092819,0.096401,-0.004189,110.348676
3,0.008138,-0.024887,-0.12576,0.043442,0.06673,0.093741,0.09638,-0.004184,110.336969
3,0.004003,-0.029247,-0.128736,0.032119,0.067425,0.09834,0.096417,-0.004166,110.358186
3,0.013563,-0.035319,-0.129845,0.050932,0.062435,0.097585,0.096408,-0.004183,110.352545
3,0.008897,-0.030093,-0.118948,0.052134,0.072452,0.09472,0.096368,-0.0042,110.330115
3,0.006105,-0.025681,-0.127671,0.04618,0.068296,0.094484,0.096348,-0.004198,110.318152
3,0.006299,-0.028629,-0.12847,0.03504,0.074942,0.093513,0.096331,-0.004198,110.308397
3,0.012259,-0.032984,-0.135847,0.044185,0.082186,0.095307,0.096414,-0.004179,110.356352
3,0.008427,-0.019669,-0.128456,0.041319,0.075096,0.10096,0.096419,-0.004159,110.359269
3,0.007063,-0.037197,-0.129178,0.037798,0.090024,0.094213,0.096402,-0.004186,110.349409
3,0.010061,-0.016278,-0.12896,0.050396,0.072277,0.096723,0.096377,-0.004162,110.335171
3,0.008213,-0.028376,-0.130703,0.045916,0.063495,0.097482,0.096387,-0.004126,110.340649
3,0.008048,-0.019327,-0.13014,0.039652,0.064282,0.091387,0.09636,-0.004111,110.325316
3,0.01048,-0.021885,-0.130727,0.047431,0.062748,0.100618,0.096398,-0.004131,110.346937
4,0.032788,-0.096942,-0.364472,0.100535,0.204763,0.212352,0.224862,0.005992,168.532994
4,0.031861,-0.099484,-0.352806,0.099771,0.241415,0.206007,0.224949,0.006134,168.565384
4,0.0237,-0.087047,-0.351488,0.090027,0.228832,0.192761,0.225011,0.00632,168.588755
4,0.027651,-0.099682,-0.354661,0.098323,0.223285,0.198014,0.225191,0.006426,168.656274
4,0.026282,-0.109888,-0.369751,0.104064,0.17025,0.206986,0.225098,0.006184,168.621322
4,0.036065,-0.085375,-0.350389,0.10568,0.212125,0.206823,0.225009,0.006094,168.587894
4,0.026956,-0.093798,-0.345624,0.103894,0.215947,0.204282,0.225038,0.006307,168.598798
4,0.034738,-0.115511,-0.344736,0.110594,0.22546,0.193666,0.225334,0.006475,168.709744
4,0.022682,-0.095442,-0.351375,0.083646,0.187217,0.198273,0.225269,0.006429,168.685185
4,0.03098,-0.095194,-0.337232,0.105046,0.200948,0.198826,0.225028,0.006251,168.595183
4,0.026929,-0.112474,-0.341874,0.106503,0.243382,0.208277,0.225254,0.006416,168.679739
4,0.029593,-0.127004,-0.354488,0.101901,0.234614,0.219576,0.225311,0.006526,168.701027
4,0.030714,-0.116681,-0.344379,0.093279,0.221241,0.198876,0.225246,0.00648,168.676704
4,0.028667,-0.114997,-0.354278,0.098745,0.184374,0.191244,0.225306,0.006494,168.699259
4,0.028624,-0.115278,-0.354892,0.113645,0.214176,0.19816,0.225305,0.006318,168.698642
4,0.026633,-0.107455,-0.348822,0.093225,0.215052,0.205107,0.22474,0.006324,168.487078
4,0.031164,-0.112634,-0.349724,0.084162,0.210354,0.205162,0.224976,0.006595,168.575649
4,0.038874,-0.101604,-0.343842,0.131423,0.198471,0.207228,0.225284,0.006702,168.691001
4,0.031277,-0.088612,-0.324205,0.115266,0.179331,0.200275,0.22553,0.006687,168.783171
4,0.018758,-0.094762,-0.334009,0.085587,0.19749,0.198331,0.224982,0.006365,168.577795
4,0.022691,-0.102703,-0.336698,0.09728,0.208828,0.200899,0.225188,0.006717,168.654852
5,0.052925,-0.170705,-0.563752,0.195229,0.571818,0.356563,0.402808,0.022692,225.566996
5,0.043985,-0.213953,-0.630263,0.165264,0.616142,0.346217,0.405031,0.023928,226.188675
5,0.045305,-0.216555,-0.636859,0.173005,0.599612,0.350511,0.405175,0.023152,226.2287
5,0.057057,-0.20887,-0.612521,0.201134,0.613221,0.338828,0.404061,0.022669,225.917529
5,0.053921,-0.213595,-0.628894,0.173962,0.653743,0.338126,0.405203,0.023112,226.236625
5,0.064768,-0.219479,-0.631396,0.21869,0.676996,0.339392,0.404047,0.022314,225.913641
5,0.065785,-0.218548,-0.609309,0.19568,0.491507,0.351201,0.402914,0.021932,225.596811
5,0.062999,-0.219336,-0.624897,0.191699,0.605777,0.338862,0.402791,0.022294,225.562249
5,0.050189,-0.214189,-0.618571,0.181815,0.662346,0.34475,0.40365,0.022847,225.802567
5,0.045094,-0.209742,-0.609629,0.162661,0.580426,0.346521,0.403188,0.022839,225.673555
5,0.059296,-0.22907,-0.640958,0.214585,0.593338,0.337231,0.403892,0.023137,225.870255
5,0.05014,-0.22278,-0.621543,0.147275,0.517166,0.340891,0.403343,0.022559,225.716721
5,0.060834,-0.222399,-0.60524,0.195574,0.614848,0.347628,0.403311,0.022925,225.707794
5,0.053925,-0.21383,-0.59773,0.174506,0.65241,0.350139,0.404573,0.023392,226.060817
5,0.060642,-0.223929,-0.610633,0.201463,0.533399,0.344398,0.403761,0.022702,225.833797
5,0.051688,-0.223369,-0.624042,0.15406,0.570452,0.340989,0.403335,0.022687,225.714558
5,0.056736,-0.206133,-0.597425,0.209436,0.51422,0.344702,0.403828,0.022753,225.852507
5,0.04554,-0.225225,-0.614623,0.14963,0.543842,0.346024,0.402594,0.02223,225.507187
5,0.056275,-0.227432,-0.641341,0.195508,0.606737,0.338494,0.402335,0.022245,225.43458
5,0.05569,-0.232428,-0.63827,0.178711,0.604324,0.347037,0.402202,0.022661,225.397228
5,0.053783,-0.225799,-0.643964,0.179308,0.620056,0.340852,0.403482,0.023046,225.755803
6,0.116731,-1.640818,-3.564883,0.103795,0.252571,0.000222,0.152905,0.001145,138.92846
6,0.12182,-1.673537,-3.567016,0.120862,0.242667,-0.005387,0.15294,0.001158,138.944329
6,0.120286,-1.662661,-3.566908,0.101843,0.279777,0.00554,0.152933,0.000886,138.940929
6,0.1225,-1.645676,-3.556229,0.127001,0.264339,-0.001216,0.15272,0.000771,138.844164
6,0.116435,-1.643971,-3.556893,0.10892,0.237773,-0.000236,0.152574,0.00085,138.778155
6,0.118013,-1.653929,-3.564006,0.118327,0.227315,-0.000065,0.152504,0.000856,138.746322
6,0.120639,-1.64872,-3.55742,0.127569,0.219755,0.006417,0.152404,0.000832,138.700763
6,0.117113,-1.630582,-3.563798,0.113292,0.253474,-0.00801,0.15236,0.00089,138.680506
6,0.120253,-1.639214,-3.560004,0.109511,0.240401,0.001658,0.152376,0.001133,138.687881
