Case ID, Side Force, Pitching Moment, Normal Force, Yawing Moment , Rolling Moment, Axial Force, Dynamic Pressure, Static Pressure, Air Speed
1,-0.002445,-0.032116,-0.008932,-0.010847,-0.003308,0.008088,0.004378,-0.009577,23.576004
1,-0.000924,-0.020254,-0.006668,-0.001389,-0.007831,0.009602,0.004346,-0.009573,23.489264
1,0.003485,-0.018377,-0.015328,0.007941,-0.004641,0.010226,0.00437,-0.009584,23.554909
1,-0.004709,-0.015305,-0.014023,-0.002489,-0.007727,0.007442,0.004358,-0.009593,23.523171
1,0.001276,-0.004648,-0.011137,0.005126,-0.006628,0.007391,0.004362,-0.009575,23.533338
1,0.0006,-0.003998,-0.004937,-0.000043,-0.001064,0.009194,0.004412,-0.009572,23.666796
1,0.000438,-0.006243,-0.01415,-0.001841,-0.005865,0.009518,0.004357,-0.009564,23.518787
1,-0.004498,0.007699,-0.018621,0.001879,0.00092,0.011102,0.004372,-0.009583,23.559487
1,-0.002392,-0.014202,-0.002962,-0.001726,-0.00261,0.004683,0.004382,-0.00959,23.586131
1,-0.000602,-0.037672,-0.007839,-0.000084,-0.011635,0.008526,0.004397,-0.009612,23.627843
1,-0.002156,-0.005695,-0.009402,0.000358,-0.005524,0.00926,0.004373,-0.009594,23.563617
1,0.000311,0.003751,-0.010865,0.006791,-0.007169,0.01022,0.004367,-0.009606,23.546382
1,0.000672,0.007965,-0.018219,0.010782,-0.001955,0.010959,0.004357,-0.0096,23.519286
1,0.00105,-0.002093,-0.009538,0.000724,-0.010312,0.007656,0.00437,-0.009579,23.55324
1,0.002112,-0.006317,-0.009618,0.00272,-0.006805,0.008023,0.004372,-0.009598,23.559217
1,-0.006136,-0.018192,-0.006509,-0.003465,0.001,0.009127,0.004336,-0.009598,23.463736
1,0.001907,-0.010704,-0.012559,0.001735,-0.006332,0.007612,0.004359,-0.009595,23.52583
1,0.001226,0.010889,-0.005363,0.00583,0.000261,0.006363,0.004355,-0.009594,23.513075
1,-0.00007,0.006887,-0.011608,0.000378,-0.0031,0.008996,0.004349,-0.009597,23.496333
1,-0.0007,-0.012718,-0.01982,0.004036,-0.00284,0.013002,0.004337,-0.009555,23.464073
1,-0.003344,-0.009286,-0.014813,-0.000663,0.000876,0.006373,0.004337,-0.009565,23.465778
2,-0.057249,-0.023644,0.019718,-0.008115,0.040582,0.036942,0.024925,-0.008835,56.25353
2,-0.048136,-0.024588,0.023679,-0.00957,0.023924,0.029772,0.024949,-0.008831,56.280304
2,-0.054107,-0.021299,0.026409,-0.011936,0.042513,0.030637,0.024934,-0.008837,56.26276
2,-0.044758,-0.020696,0.017479,-0.008622,0.033007,0.035846,0.024903,-0.008847,56.227687
2,-0.055107,-0.000075,0.023501,-0.004759,0.035561,0.038838,0.024899,-0.00885,56.223307
2,-0.051492,-0.004819,0.029907,-0.00113,0.043999,0.03445,0.024896,-0.008843,56.220534
2,-0.04496,-0.030274,0.015084,-0.000249,0.036205,0.033402,0.024909,-0.008845,56.234574
2,-0.056797,-0.025049,0.021605,-0.015286,0.033925,0.034089,0.02495,-0.008847,56.281294
2,-0.050594,-0.032651,0.015112,-0.013165,0.028941,0.037449,0.024946,-0.008844,56.276715
2,-0.055378,-0.034313,0.02139,-0.009664,0.038383,0.035891,0.024925,-0.008841,56.253071
2,-0.050254,-0.026141,0.022086,-0.007849,0.034515,0.031994,0.02496,-0.008826,56.292469
2,-0.048242,-0.011846,0.025639,-0.006127,0.046455,0.032003,0.024943,-0.008828,56.273506
2,-0.050734,-0.022118,0.02193,-0.007985,0.036946,0.038836,0.024928,-0.008858,56.25588
2,-0.050011,-0.041139,0.021929,-0.003147,0.031063,0.036107,0.024919,-0.008825,56.245918
2,-0.051496,-0.041324,0.028398,-0.004493,0.036844,0.030741,0.024899,-0.008811,56.223216
2,-0.046822,-0.039001,0.021221,-0.004091,0.037119,0.031239,0.024915,-0.008798,56.241854
2,-0.053694,-0.030176,0.026365,-0.007358,0.033312,0.039994,0.024928,-0.008802,56.256217
2,-0.058094,-0.030433,0.030142,-0.007954,0.043892,0.035333,0.024961,-0.008816,56.293507
2,-0.048439,-0.017001,0.012696,-0.000755,0.036091,0.031755,0.024923,-0.008837,56.250798
2,-0.053913,-0.005116,0.015863,-0.007558,0.038637,0.030652,0.024909,-0.008845,56.235331
2,-0.05151,-0.035066,0.0191,-0.01383,0.040898,0.036574,0.024886,-0.008835,56.208986
3,-0.139672,-0.002943,0.06515,-0.083898,0.084571,0.103346,0.10733,-0.003338,116.731824
3,-0.142293,-0.026531,0.058794,-0.085553,0.070074,0.102847,0.107281,-0.003303,116.704972
3,-0.138627,-0.017607,0.069476,-0.090816,0.075673,0.103528,0.107373,-0.003251,116.754965
3,-0.136593,-0.007498,0.063221,-0.089056,0.07957,0.10317,0.107497,-0.003206,116.822345
3,-0.141516,-0.010301,0.051353,-0.089202,0.071586,0.107665,0.107482,-0.00314,116.814628
3,-0.144821,-0.011646,0.060719,-0.078306,0.101895,0.10416,0.107511,-0.003109,116.830263
3,-0.134385,-0.020407,0.061445,-0.088147,0.085651,0.102412,0.107539,-0.003159,116.845241
3,-0.137321,0.021473,0.056397,-0.073656,0.081247,0.106923,0.107549,-0.003149,116.850652
3,-0.141971,0.004268,0.05283,-0.080861,0.097631,0.107849,0.107575,-0.003132,116.864653
3,-0.137927,-0.009762,0.059635,-0.079809,0.082055,0.106025,0.107548,-0.003155,116.850002
